;EAN;Referencia;;Nombre;Coste;Precio;;P.V.P.;Beneficio;%MC;%MV;Stock;;Proveedor;Clasificación;
Actualizado desde fichero o API;8411056267569;;;ABONO LIQ GESAL 1000ML;2,461 €;4,12 €;21 %;4,99 €;1,66 €;67,4 %;40,3 %;-3;19;BEMALU;LIMPIEZA;
Actualizado desde fichero o API;8412078010102;;;ABRILLANTADOR CARAMBA 750MLCOL;2,678 €;4,12 €;21 %;4,99 €;1,44 €;53,9 %;35,0 %;0;1.007;DPH S. L .;LIMPIEZA;
Actualizado desde fichero o API;8001480710450;;;ACE LEJIA+DETERGENTE 2LTO;1,126 €;1,64 €;21 %;1,99 €;0,51 €;45,6 %;31,3 %;0;556;DPH S. L .;LIMPIEZA;
Actualizado desde fichero o API;3600522215455;1033902;;ACEITE CAPILAR ELVIVE EXTRAORDINARIO 100ML;6,128 €;6,57 €;21 %;7,95 €;0,44 €;7,2 %;6,7 %;3;10;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;6001159111993;1073141;;ACEITE CORP BIO OIL 60ML;6,156 €;8,22 €;21 %;9,95 €;2,06 €;33,5 %;25,1 %;0;479;NAYPES;COSMETICA CONSUMO;
Actualizado desde fichero o API;8410207115872;1042502;;ACEITE CORP JOHNSONS 300 ML NORMAL;1,481 €;1,65 €;21 %;2,00 €;0,17 €;11,4 %;10,2 %;0;166;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Actualizado desde fichero o API;8410207175869;1010051;;ACEITE CORP JOHNSONS ALOE 500ML;1,795 €;3,30 €;21 %;3,99 €;1,50 €;83,8 %;45,6 %;-9;14;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Actualizado desde fichero o API;8410207175852;1042504;;ACEITE CORP JOHNSONS CLASICO 500ML;1,795 €;3,30 €;21 %;3,99 €;1,50 €;83,8 %;45,6 %;-2;6;JOHNSONS & JOHNSONS;ASEO PERSONAL;
Actualizado desde fichero o API;8008970052397;1141243;;ACEITE CORP NAT HONEY 300ML ARGAN;2,003 €;2,97 €;21 %;3,59 €;0,97 €;48,3 %;32,6 %;-3;50;BRANDCARE EST 2014, S.L.;ASEO PERSONAL;
Actualizado desde fichero o API;8008970052380;1141242;;ACEITE CORP NAT HONEY 300ML COCO;1,813 €;2,97 €;21 %;3,59 €;1,16 €;63,8 %;39,0 %;-2;1;BRANDCARE EST 2014, S.L.;ASEO PERSONAL;
Actualizado desde fichero o API;8008970052373;1141244;;ACEITE CORP NAT HONEY 300ML HIDRATANTE;1,813 €;2,97 €;21 %;3,59 €;1,16 €;63,8 %;39,0 %;1;48;BRANDCARE EST 2014, S.L.;ASEO PERSONAL;
Actualizado desde fichero o API;8008970052403;1141245;;ACEITE CORP NAT HONEY 300ML PIEL PERFECTA;1,813 €;2,97 €;21 %;3,59 €;1,16 €;63,8 %;39,0 %;6;116;BRANDCARE EST 2014, S.L.;ASEO PERSONAL;
Actualizado desde fichero o API;8425323000421;;;ACEITE DE VASELINA CORP  KORONIS 500ML;2,270 €;5,78 €;21 %;6,99 €;3,51 €;154,6 %;60,7 %;-3;50;WALKIRIA;ASEO PERSONAL;
Actualizado desde fichero o API;8425323000278;;;ACEITE DE VASELINA KORONIS 1LTO;4,063 €;6,60 €;21 %;7,99 €;2,54 €;62,4 %;38,4 %;2;246;WALKIRIA;LIMPIEZA;
Actualizado desde fichero o API;8436032031064;;;ACEITE LINAZA SPB 750ML;3,540 €;5,78 €;21 %;6,99 €;2,24 €;63,3 %;38,8 %;-4;53;CASH LEVANTE DISTRIBUCION;LIMPIEZA;
Actualizado desde fichero o API;5032227346635;1045147;;ACEITE LUBRI 3EN1 SPR 200ML;2,843 €;4,09 €;21 %;4,95 €;1,25 €;43,9 %;30,5 %;-3;19;DPH S. L .;LIMPIEZA;
Actualizado desde fichero o API;8422246500236;1075952;;ACEITE ROSA MOSQUETA NURANA 20ML;2,574 €;7,43 €;21 %;8,99 €;4,86 €;188,7 %;65,4 %;205;25;NAYPES;COSMETICA CONSUMO;
Actualizado desde fichero o API;8711700911641;1036494;;ACEITE TRESEMME LISO KERATINA 75ML;4,240 €;5,74 €;21 %;6,95 €;1,50 €;35,4 %;26,1 %;-2;182;UNILEVER (FABERGE PERFUMERIA);ASEO PERSONAL;
Actualizado desde fichero o API;8410088000403;;;ACETONA KELSIA 1000;2,116 €;3,30 €;21 %;3,99 €;1,18 €;56,0 %;35,9 %;5;11;INTERDROPER S.L;ASEO PERSONAL;
Normal;8425323000858;;;ACETONA KORONIS 250ML;1,363 €;2,27 €;21 %;2,75 €;0,91 €;66,5 %;40,0 %;3;194;WALKIRIA;;
Actualizado desde fichero o API;8436032030388;;;ACETONA PBC 1000ML;2,039 €;3,30 €;21 %;3,99 €;1,26 €;61,8 %;38,2 %;-2;419;COVALDROPER GRUPO;LIMPIEZA;
Actualizado desde fichero o API;3600542430623;1152499;;ACON  FRUCTIS CREMA SIN ACLARADO 400ML VITAMINA C Y BIOTINA;3,154 €;4,95 €;21 %;5,99 €;1,80 €;56,9 %;36,3 %;2;0;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542120944;1115852;;ACON  ORIGINAL REMEDIES 250ML ACEITE DE COCO;1,607 €;2,97 €;21 %;3,59 €;1,36 €;84,8 %;45,9 %;0;64;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542121705;1115854;;ACON  ORIGINAL REMEDIES 250ML AGUACATE / KARITE;2,057 €;2,97 €;21 %;3,59 €;0,91 €;44,4 %;30,7 %;8;111;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542121040;1115856;;ACON  ORIGINAL REMEDIES 250ML ARGAN;1,607 €;2,97 €;21 %;3,59 €;1,36 €;84,8 %;45,9 %;0;790;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542122023;1115857;;ACON  ORIGINAL REMEDIES 250ML DELICATESSE;1,821 €;2,97 €;21 %;3,59 €;1,15 €;63,1 %;38,7 %;11;59;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542120746;1115858;;ACON  ORIGINAL REMEDIES 250ML OLIVA MITICA;1,821 €;2,97 €;21 %;3,59 €;1,15 €;63,1 %;38,7 %;24;59;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542120234;1115859;;ACON  ORIGINAL REMEDIES 250ML TESORO MIEL;1,826 €;2,97 €;21 %;3,59 €;1,14 €;62,6 %;38,5 %;3;24;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600542043045;1102630;;ACON ACEITE ORIGINAL REMEDIES LEAVEIN 200ML TESOROS MIEL;1,641 €;2,47 €;21 %;2,99 €;0,83 €;50,5 %;33,6 %;0;453;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;8433295044138;1039392;;ACON AGRADO KERATINA 750ML;0,930 €;1,45 €;21 %;1,75 €;0,52 €;55,9 %;35,9 %;107;8;AGRADO COSMETICS;ASEO PERSONAL;
Actualizado desde fichero o API;8433295031510;1000302;;ACON AGRADO NORM VERDE 750;0,890 €;1,45 €;21 %;1,75 €;0,56 €;62,9 %;38,6 %;13;22;AGRADO COSMETICS;ASEO PERSONAL;
Actualizado desde fichero o API;8433295031527;1000301SADOR;;ACON AGRADO SENS BLANCO 750ML;1,025 €;1,45 €;21 %;1,75 €;0,42 €;41,5 %;29,3 %;13;14;AGRADO COSMETICS;ASEO PERSONAL;
Actualizado desde fichero o API;8414716130180;;;ACON ANIAN KERATINA 1000ML;0,795 €;1,12 €;21 %;1,35 €;0,33 €;40,9 %;29,0 %;0;784;DPH S. L .;ASEO PERSONAL;
Normal;3600524004637;1154374;;ACON ELVIVE  ACIDIC WATER 200ML COLOR VIVE;5,350 €;6,60 €;21 %;7,99 €;1,25 €;23,4 %;18,9 %;9;101;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;8411300710001;1008008;;ACON ELVIVE 250ML COLOR;2,253 €;2,44 €;21 %;2,95 €;0,19 €;8,3 %;7,7 %;-1;760;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600520752129;1008005;;ACON ELVIVE 250ML NUTRI GLOSS;2,253 €;2,44 €;21 %;2,95 €;0,19 €;8,3 %;7,7 %;5;397;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600521707128;1008006;;ACON ELVIVE 250ML TOTAL REPAIR;2,253 €;2,44 €;21 %;2,95 €;0,19 €;8,3 %;7,7 %;-3;613;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523625765;1118568;;ACON ELVIVE 300 ML COLOR VIVE;2,257 €;3,26 €;21 %;3,95 €;1,00 €;44,4 %;30,8 %;5;1;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523625796;1118572;;ACON ELVIVE 300ML ACEITE EXTRAORDINARIO;2,263 €;3,26 €;21 %;3,95 €;1,00 €;44,1 %;30,6 %;1;14;LOREAL CONSUMO;ASEO PERSONAL;
Normal;3600524029661;1151592;;ACON ELVIVE 300ML ACIDO HIALURONICO;2,257 €;3,26 €;21 %;3,95 €;1,00 €;44,4 %;30,8 %;3;3;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523625802;1118569;;ACON ELVIVE 300ML ARGININA RESIST;2,365 €;3,26 €;21 %;3,95 €;0,90 €;37,8 %;27,4 %;0;510;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523625741;1118574;;ACON ELVIVE 300ML DREAM LONG;2,257 €;3,26 €;21 %;3,95 €;1,00 €;44,4 %;30,8 %;15;0;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523625819;1118573;;ACON ELVIVE 300ML FIBRALOGY;2,394 €;3,26 €;21 %;3,95 €;0,87 €;36,2 %;26,6 %;0;700;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523923786;1133105;;ACON ELVIVE 300ML FULL RESIST;2,257 €;3,26 €;21 %;3,95 €;1,00 €;44,4 %;30,8 %;8;3;LOREAL CONSUMO;ASEO PERSONAL;
Actualizado desde fichero o API;3600523625734;1118570;;ACON ELVIVE 300ML TOTAL REPAIR;2,257 €;3,26 €;21 %;3,95 €;1,00 €;44,4 %;30,8 %;0;3;LOREAL CONSUMO;ASEO PERSONAL;
