EAN,Referencia,Nombre,Coste,Precio,tipo_IVA,P.V.P.,Beneficio,%MC,%MV,Stock,Dias_ult_venta,Proveedor,Clasificación,Distancia
8411056267569,,ABONO LIQ GESAL 1000ML,2.461,4.12,21 ,4.99,1.66,67.4,40.3,3,19,BEMALU,LIMPIEZA,71.14753741918742
1111111111116666,9999999,ABRILLANTADOR CARAMBA 120ML,4.0,4.0,0,0.0,0.0,0.0,0.0,0,3,DPH S. L .,LIMPIEZA,
1111111111116666,9999999,ACEITE DETERGENTE 2LTO,1.0,1.0,0,0.0,0.0,0.0,0.0,0,0,DPH S. L .,LIMPIEZA,75.15148087073443
3600522215455,1033902,ACEITE CAPILAR ELVIVE EXTRAORDINARIO 100ML,6.128,6.57,21 ,7.95,0.44,7.2,6.7,3,10,LOREAL CONSUMO,ASEO PERSONAL,110.92731028646861
9999999999999,9999999,ACEIT BIO OIL 60ML,0.0,0.0,0,0.0,0.0,0.0,0.0,0,0,NAYPES,LIMPIEZA,81.04678949803116
8410207115872,1042502,ACEITE CORP JOHNSONS 300 ML NORMAL,1.481,1.65,21 ,2.0,0.17,11.4,10.2,0,166,JOHNSONS & JOHNSONS,ASEO PERSONAL,104.46180612878115
8410207175869,1010051,ACEITE CORP JOHNSONS ALOE 500ML,1.795,3.3,21 ,3.99,1.5,83.8,45.6,9,14,JOHNSONS & JOHNSONS,ASEO PERSONAL,89.22479781340616
8410207175852,1042504,ACEITE CORP JOHNSONS CLASICO 500ML,1.795,3.3,21 ,3.99,1.5,83.8,45.6,2,6,JOHNSONS & JOHNSONS,ASEO PERSONAL,95.86130197109364
8008970052397,1141243,ACEITE CORP NAT HONEY 300ML ARGAN,2.003,2.97,21 ,3.59,0.97,48.3,32.6,3,50,"BRANDCARE EST 2014, S.L.",ASEO PERSONAL,99.30155404993738
8008970052380,1141242,ACEITE CORP NAT HONEY 300ML COCO,1.813,2.97,21 ,3.59,1.16,63.8,39.0,2,1,"BRANDCARE EST 2014, S.L.",ASEO PERSONAL,96.17330197109364
8008970052373,1141244,ACEITE CORP NAT HONEY 300ML HIDRATANTE,1.813,2.97,21 ,3.59,1.16,63.8,39.0,1,48,"BRANDCARE EST 2014, S.L.",ASEO PERSONAL,116.0828144441561
8008970052403,1141245,ACEITE CORP NAT HONEY 300ML PIEL PERFECTA,1.813,2.97,21 ,3.59,1.16,63.8,39.0,6,116,"BRANDCARE EST 2014, S.L.",ASEO PERSONAL,126.03757068068735
8425323000421,,ACEITE DE VASELINA CORP  KORONIS 500ML,2.27,5.78,21 ,6.99,3.51,154.6,60.7,3,50,WALKIRIA,ASEO PERSONAL,96.32455404993738
8425323000278,,ACEITE DE VASELINA KORONIS 1LTO,4.063,6.6,21 ,7.99,2.54,62.4,38.4,2,246,WALKIRIA,LIMPIEZA,95.61930197109363
8436032031064,,ACEITE LINAZA SPB 750ML,3.54,5.78,21 ,6.99,2.24,63.3,38.8,4,53,CASH LEVANTE DISTRIBUCION,LIMPIEZA,71.04853741918743
5032227346635,1045147,ACEITE LUBRI 3EN1 SPR 200ML,2.843,4.09,21 ,4.95,1.25,43.9,30.5,3,19,DPH S. L .,LIMPIEZA,68.18425566531837
8422246500236,1075952,ACEITE ROSA MOSQUETA NURANA 20ML,2.574,7.43,21 ,8.99,4.86,188.7,65.4,205,25,NAYPES,COSMETICA CONSUMO,81.68729365571866
8711700911641,1036494,ACEITE TRESEMME LISO KERATINA 75ML,4.24,5.74,21 ,6.95,1.5,35.4,26.1,2,182,UNILEVER (FABERGE PERFUMERIA),ASEO PERSONAL,98.25455404993738
8410088000403,,ACETONA KELSIA 1000,2.116,3.3,21 ,3.99,1.18,56.0,35.9,5,11,INTERDROPER S.L,ASEO PERSONAL,75.63078949803116
8425323000858,,ACETONA KORONIS 250ML,1.363,2.27,21 ,2.75,0.91,66.5,40.0,3,194,WALKIRIA,,74.09553741918742
8436032030388,,ACETONA PBC 1000ML,2.039,3.3,21 ,3.99,1.26,61.8,38.2,2,419,COVALDROPER GRUPO,LIMPIEZA,72.38953741918742
3600542430623,1152499,ACON  FRUCTIS CREMA SIN ACLARADO 400ML VITAMINA C Y BIOTINA,3.154,4.95,21 ,5.99,1.8,56.9,36.3,2,0,LOREAL CONSUMO,ASEO PERSONAL,162.7435956268123
3600542120944,1115852,ACON  ORIGINAL REMEDIES 250ML ACEITE DE COCO,1.607,2.97,21 ,3.59,1.36,84.8,45.9,0,64,LOREAL CONSUMO,ASEO PERSONAL,132.88007483837484
3600542121705,1115854,ACON  ORIGINAL REMEDIES 250ML AGUACATE ,2.057,2.97,21 ,3.59,0.91,44.4,30.7,8,111,LOREAL CONSUMO,ASEO PERSONAL,119.15706652299984
3600542121040,1115856,ACON  ORIGINAL REMEDIES 250ML ARGAN,1.607,2.97,21 ,3.59,1.36,84.8,45.9,0,790,LOREAL CONSUMO,ASEO PERSONAL,106.33405820762488
3600542122023,1115857,ACON  ORIGINAL REMEDIES 250ML DELICATESSE,1.821,2.97,21 ,3.59,1.15,63.1,38.7,11,59,LOREAL CONSUMO,ASEO PERSONAL,126.02957068068736
3600542120746,1115858,ACON  ORIGINAL REMEDIES 250ML OLIVA MITICA,1.821,2.97,21 ,3.59,1.15,63.1,38.7,24,59,LOREAL CONSUMO,ASEO PERSONAL,126.02957068068736
3600542120234,1115859,ACON  ORIGINAL REMEDIES 250ML TESORO MIEL,1.826,2.97,21 ,3.59,1.14,62.6,38.5,3,24,LOREAL CONSUMO,ASEO PERSONAL,122.70631860184359
3600542043045,1102630,ACON ACEITE ORIGINAL REMEDIES LEAVEIN 200ML TESOROS MIEL,1.641,2.47,21 ,2.99,0.83,50.5,33.6,0,453,LOREAL CONSUMO,ASEO PERSONAL,159.8920914691248
8433295044138,1039392,ACON AGRADO KERATINA 750ML,0.93,1.45,21 ,1.75,0.52,55.9,35.9,107,8,AGRADO COSMETICS,ASEO PERSONAL,65.39378118265618
8433295031510,1000302,ACON AGRADO NORM VERDE 750,0.89,1.45,21 ,1.75,0.56,62.9,38.6,13,22,AGRADO COSMETICS,ASEO PERSONAL,85.34329365571865
8433295031527,1000301SADOR,ACON AGRADO SENS BLANCO 750ML,1.025,1.45,21 ,1.75,0.42,41.5,29.3,13,14,AGRADO COSMETICS,ASEO PERSONAL,78.57178949803117
8414716130180,,ACON ANIAN KERATINA 1000ML,0.795,1.12,21 ,1.35,0.33,40.9,29.0,0,784,DPH S. L .,ASEO PERSONAL,58.41197980258126
3600524004637,1154374,ACON ELVIVE  ACIDIC WATER 200ML COLOR VIVE,5.35,6.6,21 ,7.99,1.25,23.4,18.9,9,101,LOREAL CONSUMO,ASEO PERSONAL,123.4523186018436
8411300710001,1008008,ACON ELVIVE 250ML COLOR,2.253,2.44,21 ,2.95,0.19,8.3,7.7,1,760,LOREAL CONSUMO,ASEO PERSONAL,89.62679781340616
3600520752129,1008005,ACON ELVIVE 250ML NUTRI GLOSS,2.253,2.44,21 ,2.95,0.19,8.3,7.7,5,397,LOREAL CONSUMO,ASEO PERSONAL,99.58155404993738
3600521707128,1008006,ACON ELVIVE 250ML TOTAL REPAIR,2.253,2.44,21 ,2.95,0.19,8.3,7.7,3,613,LOREAL CONSUMO,ASEO PERSONAL,99.58155404993738
3600523625765,1118568,ACON ELVIVE 300 ML COLOR VIVE,2.257,3.26,21 ,3.95,1.0,44.4,30.8,5,1,LOREAL CONSUMO,ASEO PERSONAL,98.75755404993738
3600523625796,1118572,ACON ELVIVE 300ML ACEITE EXTRAORDINARIO,2.263,3.26,21 ,3.95,1.0,44.1,30.6,1,14,LOREAL CONSUMO,ASEO PERSONAL,121.9793186018436
3600524029661,1151592,ACON ELVIVE 300ML ACIDO HIALURONICO,2.257,3.26,21 ,3.95,1.0,44.4,30.8,3,3,LOREAL CONSUMO,ASEO PERSONAL,112.03056236531238
3600523625802,1118569,ACON ELVIVE 300ML ARGININA RESIST,2.365,3.26,21 ,3.95,0.9,37.8,27.4,0,510,LOREAL CONSUMO,ASEO PERSONAL,101.96780612878115
